sequence_len,RMSE,Score,Model_spec,feature_num,attention_type,cell_type,fc_activation,rnn_num_layers,hidden_dim,lstm_dim,fc_layer_dim,feature_head_num,sequence_head_num,fc_dropout,lr,validation_rate,batch_size,patience,max_epochs,bidirectional,save_attention_weights,dataset_root,sub_dataset,norm_type,max_rul,cluster_operations,norm_by_operations,use_max_rul_on_test,gpus,shuffle,exclude_cols
35,11.94363174,229.4350586,DegFormer+sLSTM,16,deg_attention,slstm,gelu,1,40,16,64,2,2,0.2,0.001,0.1,128,50,150,FALSE,FALSE,D:\Datasets\CMAPSS\raw_data,FD001,z-score,125,FALSE,FALSE,TRUE,1,FALSE,"['op3', 's1', 's5', 's6', 's10', 's16', 's18', 's19']"
40,11.48253651,205.7382355,DegFormer+sLSTM,16,deg_attention,slstm,gelu,1,40,16,64,2,2,0.2,0.001,0.1,128,50,150,FALSE,FALSE,D:\Datasets\CMAPSS\raw_data,FD001,z-score,125,FALSE,FALSE,TRUE,1,FALSE,"['op3', 's1', 's5', 's6', 's10', 's16', 's18', 's19']"
45,11.61215763,205.3124542,DegFormer+sLSTM,16,deg_attention,slstm,gelu,1,48,16,64,2,2,0.2,0.001,0.1,128,50,150,FALSE,FALSE,D:\Datasets\CMAPSS\raw_data,FD001,z-score,125,FALSE,FALSE,TRUE,1,FALSE,"['op3', 's1', 's5', 's6', 's10', 's16', 's18', 's19']"
50,12.3007576,233.25383,DegFormer+sLSTM,16,deg_attention,slstm,gelu,1,56,16,64,2,2,0.2,0.001,0.1,128,50,150,FALSE,FALSE,D:\Datasets\CMAPSS\raw_data,FD001,z-score,125,FALSE,FALSE,TRUE,1,FALSE,"['op3', 's1', 's5', 's6', 's10', 's16', 's18', 's19']"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,16.62566948,569.0769043,seeded_DegFormer+sLSTM,16,deg_attention,slstm,gelu,1,24,16,64,2,2,0.2,0.001,0.1,128,50,150,FALSE,FALSE,D:\Datasets\CMAPSS\raw_data,FD001,z-score,125,FALSE,FALSE,TRUE,1,FALSE,"['op3', 's1', 's5', 's6', 's10', 's16', 's18', 's19']"
25,11.56852695,177.1830524,seeded_DegFormer+sLSTM,16,deg_attention,slstm,gelu,1,32,16,64,2,2,0.2,0.001,0.1,128,50,150,FALSE,FALSE,D:\Datasets\CMAPSS\raw_data,FD001,z-score,125,FALSE,FALSE,TRUE,1,FALSE,"['op3', 's1', 's5', 's6', 's10', 's16', 's18', 's19']"
30,11.90843201,222.2104797,seeded_DegFormer+sLSTM,16,deg_attention,slstm,gelu,1,32,16,64,2,2,0.2,0.001,0.1,128,50,150,FALSE,FALSE,D:\Datasets\CMAPSS\raw_data,FD001,z-score,125,FALSE,FALSE,TRUE,1,FALSE,"['op3', 's1', 's5', 's6', 's10', 's16', 's18', 's19']"
35,12.14336948,232.4335327,seeded_DegFormer+sLSTM,16,deg_attention,slstm,gelu,1,40,16,64,2,2,0.2,0.001,0.1,128,50,150,FALSE,FALSE,D:\Datasets\CMAPSS\raw_data,FD001,z-score,125,FALSE,FALSE,TRUE,1,FALSE,"['op3', 's1', 's5', 's6', 's10', 's16', 's18', 's19']"
40,11.38241348,199.7308655,seeded_DegFormer+sLSTM,16,deg_attention,slstm,gelu,1,40,16,64,2,2,0.2,0.001,0.1,128,50,150,FALSE,FALSE,D:\Datasets\CMAPSS\raw_data,FD001,z-score,125,FALSE,FALSE,TRUE,1,FALSE,"['op3', 's1', 's5', 's6', 's10', 's16', 's18', 's19']"
45,11.81215191,215.3122559,seeded_DegFormer+sLSTM,16,deg_attention,slstm,gelu,1,48,16,64,2,2,0.2,0.001,0.1,128,50,150,FALSE,FALSE,D:\Datasets\CMAPSS\raw_data,FD001,z-score,125,FALSE,FALSE,TRUE,1,FALSE,"['op3', 's1', 's5', 's6', 's10', 's16', 's18', 's19']"
50,12.50075951,248.2539063,seeded_DegFormer+sLSTM,16,deg_attention,slstm,gelu,1,56,16,64,2,2,0.2,0.001,0.1,128,50,150,FALSE,FALSE,D:\Datasets\CMAPSS\raw_data,FD001,z-score,125,FALSE,FALSE,TRUE,1,FALSE,"['op3', 's1', 's5', 's6', 's10', 's16', 's18', 's19']"
