RMSE,Score,Model_spec,sequence_len,feature_num,attention_type,cell_type,fc_activation,rnn_num_layers,hidden_dim,lstm_dim,fc_layer_dim,feature_head_num,sequence_head_num,fc_dropout,lr,validation_rate,batch_size,patience,max_epochs,bidirectional,save_attention_weights,dataset_root,sub_dataset,norm_type,max_rul,cluster_operations,norm_by_operations,use_max_rul_on_test,gpus,shuffle,exclude_cols
12.830294609069824,347.3790283203125,DegFormer+sLSTM,35,16,deg_attention,slstm,gelu,1,40,16,64,2,2,0.25,0.001,0.2,128,50,200,False,False,D:\Datasets\CMAPSS\raw_data,FD003,z-score,125,False,False,True,1,False,"['op3', 's1', 's5', 's6', 's10', 's16', 's18', 's19']"
12.830296516418457,347.3788146972656,DegFormer+sLSTM,35,16,deg_attention,slstm,gelu,1,40,16,64,2,2,0.25,0.001,0.2,128,50,200,False,False,D:\Datasets\CMAPSS\raw_data,FD003,z-score,125,False,False,True,1,False,"['op3', 's1', 's5', 's6', 's10', 's16', 's18', 's19']"
12.830293655395508,347.37890625,DegFormer+sLSTM,35,16,deg_attention,slstm,gelu,1,40,16,64,2,2,0.25,0.001,0.2,128,50,200,False,False,D:\Datasets\CMAPSS\raw_data,FD003,z-score,125,False,False,True,1,False,"['op3', 's1', 's5', 's6', 's10', 's16', 's18', 's19']"
12.830296516418457,347.3797607421875,DegFormer+sLSTM,35,16,deg_attention,slstm,gelu,1,40,16,64,2,2,0.25,0.001,0.2,128,50,200,False,False,D:\Datasets\CMAPSS\raw_data,FD003,z-score,125,False,False,True,1,False,"['op3', 's1', 's5', 's6', 's10', 's16', 's18', 's19']"
13.34007453918457,764.9412231445312,DegFormer+sLSTM,40,16,deg_attention,slstm,gelu,1,40,16,64,2,2,0.25,0.001,0.2,128,50,200,False,False,D:\Datasets\CMAPSS\raw_data,FD003,z-score,125,False,False,True,1,False,"['op3', 's1', 's5', 's6', 's10', 's16', 's18', 's19']"
13.34006404876709,764.9354858398438,DegFormer+sLSTM,40,16,deg_attention,slstm,gelu,1,40,16,64,2,2,0.25,0.001,0.2,128,50,200,False,False,D:\Datasets\CMAPSS\raw_data,FD003,z-score,125,False,False,True,1,False,"['op3', 's1', 's5', 's6', 's10', 's16', 's18', 's19']"
13.34007453918457,764.9404296875,DegFormer+sLSTM,40,16,deg_attention,slstm,gelu,1,40,16,64,2,2,0.25,0.001,0.2,128,50,200,False,False,D:\Datasets\CMAPSS\raw_data,FD003,z-score,125,False,False,True,1,False,"['op3', 's1', 's5', 's6', 's10', 's16', 's18', 's19']"
13.340069770812988,764.934326171875,DegFormer+sLSTM,40,16,deg_attention,slstm,gelu,1,40,16,64,2,2,0.25,0.001,0.2,128,50,200,False,False,D:\Datasets\CMAPSS\raw_data,FD003,z-score,125,False,False,True,1,False,"['op3', 's1', 's5', 's6', 's10', 's16', 's18', 's19']"
13.340069770812988,764.9392700195312,DegFormer+sLSTM,40,16,deg_attention,slstm,gelu,1,40,16,64,2,2,0.25,0.001,0.2,128,50,200,False,False,D:\Datasets\CMAPSS\raw_data,FD003,z-score,125,False,False,True,1,False,"['op3', 's1', 's5', 's6', 's10', 's16', 's18', 's19']"
12.438226699829102,374.3719787597656,DegFormer+sLSTM,45,16,deg_attention,slstm,gelu,1,48,16,64,2,2,0.25,0.001,0.2,128,50,200,False,False,D:\Datasets\CMAPSS\raw_data,FD003,z-score,125,False,False,True,1,False,"['op3', 's1', 's5', 's6', 's10', 's16', 's18', 's19']"
12.438215255737305,374.3731384277344,DegFormer+sLSTM,45,16,deg_attention,slstm,gelu,1,48,16,64,2,2,0.25,0.001,0.2,128,50,200,False,False,D:\Datasets\CMAPSS\raw_data,FD003,z-score,125,False,False,True,1,False,"['op3', 's1', 's5', 's6', 's10', 's16', 's18', 's19']"
12.437516212463379,374.25531005859375,DegFormer+sLSTM,45,16,deg_attention,slstm,gelu,1,48,16,64,2,2,0.25,0.001,0.2,128,50,200,False,False,D:\Datasets\CMAPSS\raw_data,FD003,z-score,125,False,False,True,1,False,"['op3', 's1', 's5', 's6', 's10', 's16', 's18', 's19']"
12.438265800476074,374.31201171875,DegFormer+sLSTM,45,16,deg_attention,slstm,gelu,1,48,16,64,2,2,0.25,0.001,0.2,128,50,200,False,False,D:\Datasets\CMAPSS\raw_data,FD003,z-score,125,False,False,True,1,False,"['op3', 's1', 's5', 's6', 's10', 's16', 's18', 's19']"
12.437567710876465,374.2534484863281,DegFormer+sLSTM,45,16,deg_attention,slstm,gelu,1,48,16,64,2,2,0.25,0.001,0.2,128,50,200,False,False,D:\Datasets\CMAPSS\raw_data,FD003,z-score,125,False,False,True,1,False,"['op3', 's1', 's5', 's6', 's10', 's16', 's18', 's19']"
12.319260597229004,322.34332275390625,DegFormer+sLSTM,50,16,deg_attention,slstm,gelu,1,56,16,64,2,2,0.25,0.001,0.2,128,50,200,False,False,D:\Datasets\CMAPSS\raw_data,FD003,z-score,125,False,False,True,1,False,"['op3', 's1', 's5', 's6', 's10', 's16', 's18', 's19']"
12.319266319274902,322.3437194824219,DegFormer+sLSTM,50,16,deg_attention,slstm,gelu,1,56,16,64,2,2,0.25,0.001,0.2,128,50,200,False,False,D:\Datasets\CMAPSS\raw_data,FD003,z-score,125,False,False,True,1,False,"['op3', 's1', 's5', 's6', 's10', 's16', 's18', 's19']"
12.319271087646484,322.3448486328125,DegFormer+sLSTM,50,16,deg_attention,slstm,gelu,1,56,16,64,2,2,0.25,0.001,0.2,128,50,200,False,False,D:\Datasets\CMAPSS\raw_data,FD003,z-score,125,False,False,True,1,False,"['op3', 's1', 's5', 's6', 's10', 's16', 's18', 's19']"
12.319256782531738,322.3427734375,DegFormer+sLSTM,50,16,deg_attention,slstm,gelu,1,56,16,64,2,2,0.25,0.001,0.2,128,50,200,False,False,D:\Datasets\CMAPSS\raw_data,FD003,z-score,125,False,False,True,1,False,"['op3', 's1', 's5', 's6', 's10', 's16', 's18', 's19']"
12.319271087646484,322.3439636230469,DegFormer+sLSTM,50,16,deg_attention,slstm,gelu,1,56,16,64,2,2,0.25,0.001,0.2,128,50,200,False,False,D:\Datasets\CMAPSS\raw_data,FD003,z-score,125,False,False,True,1,False,"['op3', 's1', 's5', 's6', 's10', 's16', 's18', 's19']"
