Exe_Time,RMSE,Score,Model_spec,sequence_len,feature_num,attention_type,cell_type,fc_activation,rnn_num_layers,hidden_dim,lstm_dim,fc_layer_dim,feature_head_num,sequence_head_num,fc_dropout,lr,validation_rate,batch_size,patience,max_epochs,bidirectional,save_attention_weights,dataset_root,sub_dataset,norm_type,max_rul,cluster_operations,norm_by_operations,use_max_rul_on_test,gpus,shuffle,exclude_cols
19/08/2024 17:28:36,11.39956093,196.5888367,DegFormer+sLSTM,40,16,deg_attention,slstm,gelu,1,40,16,64,2,2,0.2,0.001,0.1,128,50,150,FALSE,FALSE,D:\Datasets\CMAPSS\raw_data,FD001,z-score,125,FALSE,FALSE,TRUE,1,FALSE,"['op3', 's1', 's5', 's6', 's10', 's16', 's18', 's19']"
21/08/2024 16:00:43,11.39956093,196.5888367,DegFormer+sLSTM,40,16,deg_attention,slstm,gelu,1,40,16,64,2,2,0.2,0.001,0.1,128,50,150,FALSE,FALSE,D:\Datasets\CMAPSS\raw_data,FD001,z-score,125,FALSE,FALSE,TRUE,1,FALSE,"['op3', 's1', 's5', 's6', 's10', 's16', 's18', 's19']"
21/08/2024 16:55:34,11.37848854,194.8577118,RA_DegFormer+sLSTM,40,16,deg_attention,slstm,gelu,1,40,16,64,2,2,0.2,0.001,0.1,128,50,150,FALSE,FALSE,D:\Datasets\CMAPSS\raw_data,FD001,z-score,125,FALSE,FALSE,TRUE,1,FALSE,"['op3', 's1', 's5', 's6', 's10', 's16', 's18', 's19']"
21/08/2024 18:33:30,11.37848854,194.8577118,RA_DegFormer+sLSTM,40,16,deg_attention,slstm,gelu,1,40,16,64,2,2,0.2,0.001,0.1,128,50,150,FALSE,FALSE,D:\Datasets\CMAPSS\raw_data,FD001,z-score,125,FALSE,FALSE,TRUE,1,FALSE,"['op3', 's1', 's5', 's6', 's10', 's16', 's18', 's19']"
,11.38902474,195.7232743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11.823161,231.47882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11.601587,209.53497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11.514005,191.514005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11.813499,227.88474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11.688063,215.1031338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/9/2024 10:32,11.52562332,183.9015198,DegFormer+sLSTM,30,16,deg_attention,slstm,gelu,1,32,16,32,2,2,0.25,0.001,0.2,128,50,150,FALSE,FALSE,D:\Datasets\CMAPSS\raw_data,FD001,z-score,125,FALSE,FALSE,TRUE,1,FALSE,"['op3', 's1', 's5', 's6', 's10', 's16', 's18', 's19']"
11/9/2024 11:53,11.52562332,183.9015198,DegFormer+sLSTM,30,16,deg_attention,slstm,gelu,1,32,16,32,2,2,0.25,0.001,0.2,128,50,150,FALSE,FALSE,D:\Datasets\CMAPSS\raw_data,FD001,z-score,125,FALSE,FALSE,TRUE,1,FALSE,"['op3', 's1', 's5', 's6', 's10', 's16', 's18', 's19']"
11/09/2024 19:42:34,11.525623321533203,183.90151977539062,DegFormer+sLSTM,30,16,deg_attention,slstm,gelu,1,32,16,32,2,2,0.25,0.001,0.2,128,50,150,False,False,D:\Datasets\CMAPSS\raw_data,FD001,z-score,125,False,False,True,1,False,"['op3', 's1', 's5', 's6', 's10', 's16', 's18', 's19']"
14/09/2024 10:51:53,11.737972259521484,197.4266357421875,DegFormer+sLSTM,30,16,deg_attention,lstm,gelu,1,32,16,32,2,2,0.25,0.001,0.2,128,50,150,False,False,D:\Datasets\CMAPSS\raw_data,FD001,z-score,125,False,False,True,1,False,"['op3', 's1', 's5', 's6', 's10', 's16', 's18', 's19']"
21/09/2024 18:07:15,12.026637077331543,205.25180053710938,DegFormer+sLSTM,30,16,deg_attention,slstm,gelu,1,32,16,32,2,2,0.25,0.001,0.2,128,50,150,False,False,D:\Datasets\CMAPSS\raw_data,FD001,z-score,125,False,False,True,1,False,"['op3', 's1', 's5', 's6', 's10', 's16', 's18', 's19']"
21/09/2024 19:16:17,11.525623321533203,183.90151977539062,DegFormer+sLSTM,30,16,deg_attention,slstm,gelu,1,32,16,32,2,2,0.25,0.001,0.2,128,50,150,False,False,D:\Datasets\CMAPSS\raw_data,FD001,z-score,125,False,False,True,1,False,"['op3', 's1', 's5', 's6', 's10', 's16', 's18', 's19']"
23/09/2024 10:19:04,nan,0,DegFormer+sLSTM,30,16,deg_attention,slstm,gelu,1,32,16,32,2,2,0.25,0.001,0.2,128,50,150,False,False,D:\Datasets\CMAPSS\raw_data,FD001,z-score,125,False,False,True,1,False,"['op3', 's1', 's5', 's6', 's10', 's16', 's18', 's19']"
23/09/2024 10:56:56,11.525623321533203,183.90151977539062,DegFormer+sLSTM,30,16,deg_attention,slstm,gelu,1,32,16,32,2,2,0.25,0.001,0.2,128,50,150,False,False,D:\Datasets\CMAPSS\raw_data,FD001,z-score,125,False,False,True,1,False,"['op3', 's1', 's5', 's6', 's10', 's16', 's18', 's19']"
23/09/2024 16:37:22,nan,0,DegFormer+sLSTM,30,16,deg_attention,slstm,gelu,1,32,16,32,2,2,0.25,0.001,0.2,128,50,150,False,False,D:\Datasets\CMAPSS\raw_data,FD001,z-score,125,False,False,True,1,False,"['op3', 's1', 's5', 's6', 's10', 's16', 's18', 's19']"
24/09/2024 10:52:39,11.525623321533203,183.90151977539062,DegFormer+sLSTM,30,16,deg_attention,slstm,gelu,1,32,16,32,2,2,0.25,0.001,0.2,128,50,150,False,False,D:\Datasets\CMAPSS\raw_data,FD001,z-score,125,False,False,True,1,False,"['op3', 's1', 's5', 's6', 's10', 's16', 's18', 's19']"
25/09/2024 21:08:43,11.525623321533203,183.90151977539062,DegFormer+sLSTM,30,16,deg_attention,slstm,gelu,1,32,16,32,2,2,0.25,0.001,0.2,128,50,150,False,False,D:\Datasets\CMAPSS\raw_data,FD001,z-score,125,False,False,True,1,False,"['op3', 's1', 's5', 's6', 's10', 's16', 's18', 's19']"
25/09/2024 21:41:51,11.955751419067383,196.17724609375,DegFormer+sLSTM,30,16,deg_attention,slstm,gelu,1,32,16,32,2,2,0.25,0.001,0.2,128,50,150,False,False,D:\Datasets\CMAPSS\raw_data,FD001,z-score,125,False,False,True,1,False,"['op3', 's1', 's5', 's6', 's10', 's16', 's18', 's19']"
25/09/2024 21:51:59,16.707483291625977,398.5365905761719,DegFormer+sLSTM,40,16,deg_attention,slstm,gelu,1,40,16,64,2,2,0.25,0.001,0.2,128,50,150,False,False,D:\Datasets\CMAPSS\raw_data,FD001,z-score,125,False,False,True,1,False,"['op3', 's1', 's5', 's6', 's10', 's16', 's18', 's19']"
25/09/2024 22:00:10,16.08011245727539,688.279296875,DegFormer+sLSTM,40,16,deg_attention,slstm,gelu,1,32,16,32,2,2,0.25,0.001,0.2,128,50,150,False,False,D:\Datasets\CMAPSS\raw_data,FD001,z-score,125,False,False,True,1,False,"['op3', 's1', 's5', 's6', 's10', 's16', 's18', 's19']"
25/09/2024 22:23:28,11.525623321533203,183.90151977539062,DegFormer+sLSTM,30,16,deg_attention,slstm,gelu,1,32,16,32,2,2,0.25,0.001,0.2,128,50,150,False,False,D:\Datasets\CMAPSS\raw_data,FD001,z-score,125,False,False,True,1,False,"['op3', 's1', 's5', 's6', 's10', 's16', 's18', 's19']"
27/09/2024 11:01:25,12.130951881408691,206.76889038085938,DegFormer+sLSTM,30,16,deg_attention,slstm,gelu,1,32,16,32,2,2,0.25,0.001,0.2,128,50,150,False,False,D:\Datasets\CMAPSS\raw_data,FD001,z-score,125,False,False,True,1,False,"['op3', 's1', 's5', 's6', 's10', 's16', 's18', 's19']"
27/09/2024 16:21:15,11.644311904907227,188.533203125,DegFormer+sLSTM,30,16,deg_attention,slstm,gelu,1,32,16,32,2,2,0.25,0.001,0.2,128,50,150,False,False,D:\Datasets\CMAPSS\raw_data,FD001,z-score,125,False,False,True,1,False,"['op3', 's1', 's5', 's6', 's10', 's16', 's18', 's19']"
27/09/2024 16:46:42,11.525623321533203,183.90151977539062,DegFormer+sLSTM,30,16,deg_attention,slstm,gelu,1,32,16,32,2,2,0.25,0.001,0.2,128,50,150,False,False,D:\Datasets\CMAPSS\raw_data,FD001,z-score,125,False,False,True,1,False,"['op3', 's1', 's5', 's6', 's10', 's16', 's18', 's19']"
27/09/2024 17:06:32,12.107023239135742,200.10873413085938,DegFormer+sLSTM,30,16,deg_attention,slstm,gelu,1,32,16,32,2,2,0.25,0.001,0.2,128,50,150,False,False,D:\Datasets\CMAPSS\raw_data,FD001,z-score,125,False,False,True,1,False,"['op3', 's1', 's5', 's6', 's10', 's16', 's18', 's19']"
