RMSE,Score,Model_spec,sequence_len,feature_num,attention_type,cell_type,fc_activation,rnn_num_layers,hidden_dim,lstm_dim,fc_layer_dim,feature_head_num,sequence_head_num,fc_dropout,save_attention_weights,dataset_root,sub_dataset,norm_type,max_rul,cluster_operations,norm_by_operations,use_max_rul_on_test,validation_rate,batch_size,lr,patience,max_epochs,alpha,beta,gpus,bidirectional,shuffle,exclude_cols
13.50879955,869.0765991,DegFormer+xLSTM,40,20,deg_attention,slstm,gelu,1,64,16,128,2,2,0.3,FALSE,D:\Datasets\CMAPSS\raw_data,FD004,z-score,125,TRUE,TRUE,TRUE,0.25,128,0.001,50,200,0.5,0.5,1,FALSE,FALSE,"['s13', 's16', 's18', 's19']"
12.93662643,808.4383545,DegFormer+xLSTM,40,20,deg_attention,slstm,gelu,1,64,24,128,2,2,0.3,FALSE,D:\Datasets\CMAPSS\raw_data,FD004,z-score,125,TRUE,TRUE,TRUE,0.25,128,0.001,50,200,0.5,0.5,1,FALSE,FALSE,"['s13', 's16', 's18', 's19']"
13.00266457,780.862915,DegFormer+xLSTM,40,20,deg_attention,slstm,gelu,1,64,32,128,2,2,0.3,FALSE,D:\Datasets\CMAPSS\raw_data,FD004,z-score,125,TRUE,TRUE,TRUE,0.25,128,0.001,50,200,0.5,0.5,1,FALSE,FALSE,"['s13', 's16', 's18', 's19']"
