lr,RMSE,Score,Model_spec,sequence_len,feature_num,attention_type,cell_type,fc_activation,rnn_num_layers,hidden_dim,lstm_dim,fc_layer_dim,feature_head_num,sequence_head_num,fc_dropout,validation_rate,batch_size,patience,max_epochs,bidirectional,save_attention_weights,dataset_root,sub_dataset,norm_type,max_rul,cluster_operations,norm_by_operations,use_max_rul_on_test,gpus,shuffle,exclude_cols
0.001,11.24023056,214.9536743,DegFormer+sLSTM,40,16,deg_attention,slstm,gelu,1,40,16,64,2,2,0.2,0.1,128,50,150,FALSE,FALSE,D:\Datasets\CMAPSS\raw_data,FD001,z-score,125,FALSE,FALSE,TRUE,1,FALSE,"['op3', 's1', 's5', 's6', 's10', 's16', 's18', 's19']"
0.001,11.63342285,218.5887451,DegFormer+sLSTM,40,16,deg_attention,slstm,gelu,1,40,16,64,2,2,0.2,0.1,128,50,150,FALSE,FALSE,D:\Datasets\CMAPSS\raw_data,FD001,z-score,125,FALSE,FALSE,TRUE,1,FALSE,"['op3', 's1', 's5', 's6', 's10', 's16', 's18', 's19']"
0.001,11.37739849,209.9534912,DegFormer+sLSTM,40,16,deg_attention,slstm,gelu,1,40,16,64,2,2,0.2,0.1,128,50,150,FALSE,FALSE,D:\Datasets\CMAPSS\raw_data,FD001,z-score,125,FALSE,FALSE,TRUE,1,FALSE,"['op3', 's1', 's5', 's6', 's10', 's16', 's18', 's19']"
0.004,11.95487022,217.3200836,DegFormer+sLSTM,40,16,deg_attention,slstm,gelu,1,40,16,64,2,2,0.2,0.1,128,50,150,FALSE,FALSE,D:\Datasets\CMAPSS\raw_data,FD001,z-score,125,FALSE,FALSE,TRUE,1,FALSE,"['op3', 's1', 's5', 's6', 's10', 's16', 's18', 's19']"
0.004,11.87059402,248.3175354,DegFormer+sLSTM,40,16,deg_attention,slstm,gelu,1,40,16,64,2,2,0.2,0.1,128,50,150,FALSE,FALSE,D:\Datasets\CMAPSS\raw_data,FD001,z-score,125,FALSE,FALSE,TRUE,1,FALSE,"['op3', 's1', 's5', 's6', 's10', 's16', 's18', 's19']"
0.004,11.38748169,196.4860535,DegFormer+sLSTM,40,16,deg_attention,slstm,gelu,1,40,16,64,2,2,0.2,0.1,128,50,150,FALSE,FALSE,D:\Datasets\CMAPSS\raw_data,FD001,z-score,125,FALSE,FALSE,TRUE,1,FALSE,"['op3', 's1', 's5', 's6', 's10', 's16', 's18', 's19']"
0.004,11.87059593,248.3169861,DegFormer+sLSTM,40,16,deg_attention,slstm,gelu,1,40,16,64,2,2,0.2,0.1,128,50,150,FALSE,FALSE,D:\Datasets\CMAPSS\raw_data,FD001,z-score,125,FALSE,FALSE,TRUE,1,FALSE,"['op3', 's1', 's5', 's6', 's10', 's16', 's18', 's19']"
0.004,11.40991688,194.6698761,DegFormer+sLSTM,40,16,deg_attention,slstm,gelu,1,40,16,64,2,2,0.2,0.1,128,50,150,FALSE,FALSE,D:\Datasets\CMAPSS\raw_data,FD001,z-score,125,FALSE,FALSE,TRUE,1,FALSE,"['op3', 's1', 's5', 's6', 's10', 's16', 's18', 's19']"
0.007,11.44300842,235.8660431,DegFormer+sLSTM,40,16,deg_attention,slstm,gelu,1,40,16,64,2,2,0.2,0.1,128,50,150,FALSE,FALSE,D:\Datasets\CMAPSS\raw_data,FD001,z-score,125,FALSE,FALSE,TRUE,1,FALSE,"['op3', 's1', 's5', 's6', 's10', 's16', 's18', 's19']"
0.007,11.66725445,214.941925,DegFormer+sLSTM,40,16,deg_attention,slstm,gelu,1,40,16,64,2,2,0.2,0.1,128,50,150,FALSE,FALSE,D:\Datasets\CMAPSS\raw_data,FD001,z-score,125,FALSE,FALSE,TRUE,1,FALSE,"['op3', 's1', 's5', 's6', 's10', 's16', 's18', 's19']"
0.007,11.45395851,233.6969147,DegFormer+sLSTM,40,16,deg_attention,slstm,gelu,1,40,16,64,2,2,0.2,0.1,128,50,150,FALSE,FALSE,D:\Datasets\CMAPSS\raw_data,FD001,z-score,125,FALSE,FALSE,TRUE,1,FALSE,"['op3', 's1', 's5', 's6', 's10', 's16', 's18', 's19']"
0.007,11.83943939,225.4796143,DegFormer+sLSTM,40,16,deg_attention,slstm,gelu,1,40,16,64,2,2,0.2,0.1,128,50,150,FALSE,FALSE,D:\Datasets\CMAPSS\raw_data,FD001,z-score,125,FALSE,FALSE,TRUE,1,FALSE,"['op3', 's1', 's5', 's6', 's10', 's16', 's18', 's19']"
0.007,11.83103085,237.997879,DegFormer+sLSTM,40,16,deg_attention,slstm,gelu,1,40,16,64,2,2,0.2,0.1,128,50,150,FALSE,FALSE,D:\Datasets\CMAPSS\raw_data,FD001,z-score,125,FALSE,FALSE,TRUE,1,FALSE,"['op3', 's1', 's5', 's6', 's10', 's16', 's18', 's19']"
0.01,11.99883938,244.7300262,DegFormer+sLSTM,40,16,deg_attention,slstm,gelu,1,40,16,64,2,2,0.2,0.1,128,50,150,FALSE,FALSE,D:\Datasets\CMAPSS\raw_data,FD001,z-score,125,FALSE,FALSE,TRUE,1,FALSE,"['op3', 's1', 's5', 's6', 's10', 's16', 's18', 's19']"
0.01,11.83703995,231.4960938,DegFormer+sLSTM,40,16,deg_attention,slstm,gelu,1,40,16,64,2,2,0.2,0.1,128,50,150,FALSE,FALSE,D:\Datasets\CMAPSS\raw_data,FD001,z-score,125,FALSE,FALSE,TRUE,1,FALSE,"['op3', 's1', 's5', 's6', 's10', 's16', 's18', 's19']"
0.01,11.65146065,212.9660645,DegFormer+sLSTM,40,16,deg_attention,slstm,gelu,1,40,16,64,2,2,0.2,0.1,128,50,150,FALSE,FALSE,D:\Datasets\CMAPSS\raw_data,FD001,z-score,125,FALSE,FALSE,TRUE,1,FALSE,"['op3', 's1', 's5', 's6', 's10', 's16', 's18', 's19']"
0.01,11.6095562,217.6705322,DegFormer+sLSTM,40,16,deg_attention,slstm,gelu,1,40,16,64,2,2,0.2,0.1,128,50,150,FALSE,FALSE,D:\Datasets\CMAPSS\raw_data,FD001,z-score,125,FALSE,FALSE,TRUE,1,FALSE,"['op3', 's1', 's5', 's6', 's10', 's16', 's18', 's19']"
0.01,12.24115086,256.6464539,DegFormer+sLSTM,40,16,deg_attention,slstm,gelu,1,40,16,64,2,2,0.2,0.1,128,50,150,FALSE,FALSE,D:\Datasets\CMAPSS\raw_data,FD001,z-score,125,FALSE,FALSE,TRUE,1,FALSE,"['op3', 's1', 's5', 's6', 's10', 's16', 's18', 's19']"
