lr,RMSE,Score,Model_spec,sequence_len,feature_num,attention_type,cell_type,fc_activation,rnn_num_layers,hidden_dim,lstm_dim,fc_layer_dim,feature_head_num,sequence_head_num,fc_dropout,save_attention_weights,dataset_root,sub_dataset,norm_type,max_rul,cluster_operations,norm_by_operations,use_max_rul_on_test,validation_rate,batch_size,patience,max_epochs,alpha,beta,gpus,bidirectional,shuffle,exclude_cols
0.0001,13.45739555,883.4243164,DegFormer+xLSTM,40,20,deg_attention,slstm,gelu,1,40,32,128,2,2,0.3,FALSE,D:\Datasets\CMAPSS\raw_data,FD004,z-score,125,TRUE,TRUE,TRUE,0.25,128,50,200,0.5,0.5,1,FALSE,FALSE,"['s13', 's16', 's18', 's19']"
0.0003,13.18502235,826.1433105,DegFormer+xLSTM,40,20,deg_attention,slstm,gelu,1,40,32,128,2,2,0.3,FALSE,D:\Datasets\CMAPSS\raw_data,FD004,z-score,125,TRUE,TRUE,TRUE,0.25,128,50,200,0.5,0.5,1,FALSE,FALSE,"['s13', 's16', 's18', 's19']"
0.0005,12.96949291,808.3665771,DegFormer+xLSTM,40,20,deg_attention,slstm,gelu,1,40,32,128,2,2,0.3,FALSE,D:\Datasets\CMAPSS\raw_data,FD004,z-score,125,TRUE,TRUE,TRUE,0.25,128,50,200,0.5,0.5,1,FALSE,FALSE,"['s13', 's16', 's18', 's19']"
0.0007,12.96319962,803.7701416,DegFormer+xLSTM,40,20,deg_attention,slstm,gelu,1,40,32,128,2,2,0.3,FALSE,D:\Datasets\CMAPSS\raw_data,FD004,z-score,125,TRUE,TRUE,TRUE,0.25,128,50,200,0.5,0.5,1,FALSE,FALSE,"['s13', 's16', 's18', 's19']"
0.001,12.96132565,827.9050293,DegFormer+xLSTM,40,20,deg_attention,slstm,gelu,1,40,32,128,2,2,0.3,FALSE,D:\Datasets\CMAPSS\raw_data,FD004,z-score,125,TRUE,TRUE,TRUE,0.25,128,50,200,0.5,0.5,1,FALSE,FALSE,"['s13', 's16', 's18', 's19']"
0.003,13.48017788,934.4460449,DegFormer+xLSTM,40,20,deg_attention,slstm,gelu,1,40,32,128,2,2,0.3,FALSE,D:\Datasets\CMAPSS\raw_data,FD004,z-score,125,TRUE,TRUE,TRUE,0.25,128,50,200,0.5,0.5,1,FALSE,FALSE,"['s13', 's16', 's18', 's19']"
0.005,13.34717751,816.7060547,DegFormer+xLSTM,40,20,deg_attention,slstm,gelu,1,40,32,128,2,2,0.3,FALSE,D:\Datasets\CMAPSS\raw_data,FD004,z-score,125,TRUE,TRUE,TRUE,0.25,128,50,200,0.5,0.5,1,FALSE,FALSE,"['s13', 's16', 's18', 's19']"
0.007,13.61685848,828.0924683,DegFormer+xLSTM,40,20,deg_attention,slstm,gelu,1,40,32,128,2,2,0.3,FALSE,D:\Datasets\CMAPSS\raw_data,FD004,z-score,125,TRUE,TRUE,TRUE,0.25,128,50,200,0.5,0.5,1,FALSE,FALSE,"['s13', 's16', 's18', 's19']"
0.01,13.97069931,812.6716309,DegFormer+xLSTM,40,20,deg_attention,slstm,gelu,1,40,32,128,2,2,0.3,FALSE,D:\Datasets\CMAPSS\raw_data,FD004,z-score,125,TRUE,TRUE,TRUE,0.25,128,50,200,0.5,0.5,1,FALSE,FALSE,"['s13', 's16', 's18', 's19']"
