RMSE,Score,Model_spec,sequence_len,feature_num,attention_type,cell_type,fc_activation,rnn_num_layers,hidden_dim,lstm_dim,fc_layer_dim,feature_head_num,sequence_head_num,fc_dropout,lr,validation_rate,batch_size,patience,max_epochs,save_attention_weights,dataset_root,sub_dataset,norm_type,max_rul,cluster_operations,norm_by_operations,use_max_rul_on_test,bidirectional,gpus,exclude_cols
13.21316146850586,731.51220703125,risk_aware,35,20,deg_attention,slstm,gelu,1,40,16,64,1,1,0.25,0.001,0.1,128,50,200,False,D:\Datasets\CMAPSS\raw_data,FD002,z-score,125,True,True,True,False,1,"['s13', 's16', 's18', 's19']"
13.01049518585205,759.1513061523438,risk_aware,40,20,deg_attention,slstm,gelu,1,40,16,64,1,1,0.25,0.001,0.1,128,50,200,False,D:\Datasets\CMAPSS\raw_data,FD002,z-score,125,True,True,True,False,1,"['s13', 's16', 's18', 's19']"
12.676023483276367,692.9766845703125,risk_aware,40,20,deg_attention,slstm,gelu,1,40,16,64,1,1,0.25,0.001,0.1,128,50,200,False,D:\Datasets\CMAPSS\raw_data,FD002,z-score,125,True,True,True,False,1,"['s13', 's16', 's18', 's19']"
12.538214683532715,648.7052001953125,risk_aware,40,20,deg_attention,slstm,gelu,1,40,16,64,1,1,0.25,0.001,0.1,128,50,200,False,D:\Datasets\CMAPSS\raw_data,FD002,z-score,125,True,True,True,False,1,"['s13', 's16', 's18', 's19']"
13.011576652526855,759.4224243164062,risk_aware,40,20,deg_attention,slstm,gelu,1,40,16,64,1,1,0.25,0.001,0.1,128,50,200,False,D:\Datasets\CMAPSS\raw_data,FD002,z-score,125,True,True,True,False,1,"['s13', 's16', 's18', 's19']"
12.676077842712402,692.9818115234375,risk_aware,40,20,deg_attention,slstm,gelu,1,40,16,64,1,1,0.25,0.001,0.1,128,50,200,False,D:\Datasets\CMAPSS\raw_data,FD002,z-score,125,True,True,True,False,1,"['s13', 's16', 's18', 's19']"
12.554099082946777,592.9927978515625,risk_aware,45,20,deg_attention,slstm,gelu,1,48,16,64,1,1,0.25,0.001,0.1,128,50,200,False,D:\Datasets\CMAPSS\raw_data,FD002,z-score,125,True,True,True,False,1,"['s13', 's16', 's18', 's19']"
12.175464630126953,635.7398071289062,risk_aware,45,20,deg_attention,slstm,gelu,1,48,16,64,1,1,0.25,0.001,0.1,128,50,200,False,D:\Datasets\CMAPSS\raw_data,FD002,z-score,125,True,True,True,False,1,"['s13', 's16', 's18', 's19']"
12.210514068603516,615.1868896484375,risk_aware,45,20,deg_attention,slstm,gelu,1,48,16,64,1,1,0.25,0.001,0.1,128,50,200,False,D:\Datasets\CMAPSS\raw_data,FD002,z-score,125,True,True,True,False,1,"['s13', 's16', 's18', 's19']"
12.554068565368652,592.9917602539062,risk_aware,45,20,deg_attention,slstm,gelu,1,48,16,64,1,1,0.25,0.001,0.1,128,50,200,False,D:\Datasets\CMAPSS\raw_data,FD002,z-score,125,True,True,True,False,1,"['s13', 's16', 's18', 's19']"
12.175455093383789,635.7381591796875,risk_aware,45,20,deg_attention,slstm,gelu,1,48,16,64,1,1,0.25,0.001,0.1,128,50,200,False,D:\Datasets\CMAPSS\raw_data,FD002,z-score,125,True,True,True,False,1,"['s13', 's16', 's18', 's19']"
13.197542190551758,818.1076049804688,risk_aware,50,20,deg_attention,slstm,gelu,1,56,16,64,1,1,0.25,0.001,0.1,128,50,200,False,D:\Datasets\CMAPSS\raw_data,FD002,z-score,125,True,True,True,False,1,"['s13', 's16', 's18', 's19']"
13.309099197387695,759.387939453125,risk_aware,50,20,deg_attention,slstm,gelu,1,56,16,64,1,1,0.25,0.001,0.1,128,50,200,False,D:\Datasets\CMAPSS\raw_data,FD002,z-score,125,True,True,True,False,1,"['s13', 's16', 's18', 's19']"
12.929100036621094,647.3590087890625,risk_aware,50,20,deg_attention,slstm,gelu,1,56,16,64,1,1,0.25,0.001,0.1,128,50,200,False,D:\Datasets\CMAPSS\raw_data,FD002,z-score,125,True,True,True,False,1,"['s13', 's16', 's18', 's19']"
13.197537422180176,818.1046142578125,risk_aware,50,20,deg_attention,slstm,gelu,1,56,16,64,1,1,0.25,0.001,0.1,128,50,200,False,D:\Datasets\CMAPSS\raw_data,FD002,z-score,125,True,True,True,False,1,"['s13', 's16', 's18', 's19']"
13.309100151062012,759.3930053710938,risk_aware,50,20,deg_attention,slstm,gelu,1,56,16,64,1,1,0.25,0.001,0.1,128,50,200,False,D:\Datasets\CMAPSS\raw_data,FD002,z-score,125,True,True,True,False,1,"['s13', 's16', 's18', 's19']"
