Exe_Time,RMSE,Score,Model_spec,sequence_len,feature_num,attention_model,cell_type,fc_activation,rnn_num_layers,hidden_dim,lstm_dim,fc_layer_dim,feature_head_num,sequence_head_num,fc_dropout,lr,validation_rate,batch_size,patience,max_epochs,save_attention_weights,dataset_root,sub_dataset,norm_type,max_rul,cluster_operations,norm_by_operations,use_max_rul_on_test,bidirectional,gpus,exclude_cols
22/08/2024 19:13:15,12.82884026,695.2452393,DegFormer+sLSTM,40,20,deg_attention,slstm,gelu,1,40,16,64,1,1,0.25,0.001,0.1,128,50,200,FALSE,D:\Datasets\CMAPSS\raw_data,FD002,z-score,125,TRUE,TRUE,TRUE,FALSE,1,"['s13', 's16', 's18', 's19']"
22/08/2024 22:51:15,12.60844898,667.4883423,RAL+DegFormer+sLSTM,40,20,deg_attention,slstm,gelu,1,40,16,64,1,1,0.25,0.001,0.1,128,50,200,FALSE,D:\Datasets\CMAPSS\raw_data,FD002,z-score,125,TRUE,TRUE,TRUE,FALSE,1,"['s13', 's16', 's18', 's19']"
22/08/2024 23:34:47,12.6802063,675.3347168,RAL+DegFormer+sLSTM,40,20,deg_attention,slstm,gelu,1,40,16,64,1,1,0.25,0.001,0.1,128,50,200,FALSE,D:\Datasets\CMAPSS\raw_data,FD002,z-score,125,TRUE,TRUE,TRUE,FALSE,1,"['s13', 's16', 's18', 's19']"
,12.67132743,659.3518067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13.289,804.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13.59,870.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13.44,844.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13.36,823.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13.41975,835.9625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
