sequence_len,RMSE,Score,Model_spec,feature_num,attention_type,cell_type,fc_activation,rnn_num_layers,hidden_dim,lstm_dim,fc_layer_dim,feature_head_num,sequence_head_num,fc_dropout,lr,validation_rate,batch_size,patience,max_epochs,bidirectional,save_attention_weights,dataset_root,sub_dataset,norm_type,max_rul,cluster_operations,norm_by_operations,use_max_rul_on_test,gpus,shuffle,exclude_cols
20,14.1889801,614.7332153,DAT-RUL,16,deg_attention,slstm,gelu,1,40,16,64,2,2,0.25,0.001,0.2,128,50,200,FALSE,FALSE,D:\Datasets\CMAPSS\raw_data,FD003,z-score,125,FALSE,FALSE,TRUE,1,FALSE,"['op3', 's1', 's5', 's6', 's10', 's16', 's18', 's19']"
25,13.6125145,578.0119019,DAT-RUL,16,deg_attention,slstm,gelu,1,40,16,64,2,2,0.25,0.001,0.2,128,50,200,FALSE,FALSE,D:\Datasets\CMAPSS\raw_data,FD003,z-score,125,FALSE,FALSE,TRUE,1,FALSE,"['op3', 's1', 's5', 's6', 's10', 's16', 's18', 's19']"
30,12.66566944,324.2854309,DAT-RUL,16,deg_attention,slstm,gelu,1,40,16,64,2,2,0.25,0.001,0.2,128,50,200,FALSE,FALSE,D:\Datasets\CMAPSS\raw_data,FD003,z-score,125,FALSE,FALSE,TRUE,1,FALSE,"['op3', 's1', 's5', 's6', 's10', 's16', 's18', 's19']"
35,11.85884953,262.199646,DAT-RUL,16,deg_attention,slstm,gelu,1,40,16,64,2,2,0.25,0.001,0.2,128,50,200,FALSE,FALSE,D:\Datasets\CMAPSS\raw_data,FD003,z-score,125,FALSE,FALSE,TRUE,1,FALSE,"['op3', 's1', 's5', 's6', 's10', 's16', 's18', 's19']"
40,11.28920689,246.4337463,DAT-RUL,16,deg_attention,slstm,gelu,1,40,16,64,2,2,0.25,0.001,0.2,128,50,200,FALSE,FALSE,D:\Datasets\CMAPSS\raw_data,FD003,z-score,125,FALSE,FALSE,TRUE,1,FALSE,"['op3', 's1', 's5', 's6', 's10', 's16', 's18', 's19']"
45,11.39087963,265.0141907,DAT-RUL,16,deg_attention,slstm,gelu,1,40,16,64,2,2,0.25,0.001,0.2,128,50,200,FALSE,FALSE,D:\Datasets\CMAPSS\raw_data,FD003,z-score,125,FALSE,FALSE,TRUE,1,FALSE,"['op3', 's1', 's5', 's6', 's10', 's16', 's18', 's19']"
50,12.706954,277.6581726,DAT-RUL,16,deg_attention,slstm,gelu,1,40,16,64,2,2,0.25,0.001,0.2,128,50,200,FALSE,FALSE,D:\Datasets\CMAPSS\raw_data,FD003,z-score,125,FALSE,FALSE,TRUE,1,FALSE,"['op3', 's1', 's5', 's6', 's10', 's16', 's18', 's19']"
