RMSE,Score,Model_spec,sequence_len,feature_num,attention_type,cell_type,fc_activation,rnn_num_layers,hidden_dim,lstm_dim,fc_layer_dim,feature_head_num,sequence_head_num,fc_dropout,lr,validation_rate,batch_size,patience,max_epochs,bidirectional,save_attention_weights,dataset_root,sub_dataset,norm_type,max_rul,cluster_operations,norm_by_operations,use_max_rul_on_test,gpus,shuffle,exclude_cols
15.701661109924316,467.4377136230469,DegFormer+sLSTM,20,16,deg_attention,slstm,gelu,1,24,16,32,2,2,0.25,0.001,0.2,128,50,200,False,False,D:\Datasets\CMAPSS\raw_data,FD001,z-score,125,False,False,True,1,False,"['op3', 's1', 's5', 's6', 's10', 's16', 's18', 's19']"
12.009817123413086,208.28079223632812,DegFormer+sLSTM,25,16,deg_attention,slstm,gelu,1,32,16,32,2,2,0.25,0.001,0.2,128,50,200,False,False,D:\Datasets\CMAPSS\raw_data,FD001,z-score,125,False,False,True,1,False,"['op3', 's1', 's5', 's6', 's10', 's16', 's18', 's19']"
11.494851112365723,187.39459228515625,DegFormer+sLSTM,30,16,deg_attention,slstm,gelu,1,32,16,32,2,2,0.25,0.001,0.2,128,50,200,False,False,D:\Datasets\CMAPSS\raw_data,FD001,z-score,125,False,False,True,1,False,"['op3', 's1', 's5', 's6', 's10', 's16', 's18', 's19']"
11.811260223388672,219.46170043945312,DegFormer+sLSTM,35,16,deg_attention,slstm,gelu,1,40,16,32,2,2,0.25,0.001,0.2,128,50,200,False,False,D:\Datasets\CMAPSS\raw_data,FD001,z-score,125,False,False,True,1,False,"['op3', 's1', 's5', 's6', 's10', 's16', 's18', 's19']"
11.69687557220459,216.47007751464844,DegFormer+sLSTM,40,16,deg_attention,slstm,gelu,1,40,16,32,2,2,0.25,0.001,0.2,128,50,200,False,False,D:\Datasets\CMAPSS\raw_data,FD001,z-score,125,False,False,True,1,False,"['op3', 's1', 's5', 's6', 's10', 's16', 's18', 's19']"
11.708951950073242,202.33126831054688,DegFormer+sLSTM,45,16,deg_attention,slstm,gelu,1,48,16,32,2,2,0.25,0.001,0.2,128,50,200,False,False,D:\Datasets\CMAPSS\raw_data,FD001,z-score,125,False,False,True,1,False,"['op3', 's1', 's5', 's6', 's10', 's16', 's18', 's19']"
12.957115173339844,235.75192260742188,DegFormer+sLSTM,50,16,deg_attention,slstm,gelu,1,56,16,32,2,2,0.25,0.001,0.2,128,50,200,False,False,D:\Datasets\CMAPSS\raw_data,FD001,z-score,125,False,False,True,1,False,"['op3', 's1', 's5', 's6', 's10', 's16', 's18', 's19']"
