Exe_Time,RMSE,Score,Model_spec,sequence_len,feature_num,attention_type,cell_type,fc_activation,rnn_num_layers,hidden_dim,lstm_dim,fc_layer_dim,feature_head_num,sequence_head_num,fc_dropout,save_attention_weights,dataset_root,sub_dataset,norm_type,max_rul,cluster_operations,norm_by_operations,use_max_rul_on_test,validation_rate,batch_size,lr,patience,max_epochs,gpus,bidirectional,shuffle,exclude_cols
25/10/2024 15:42:52,12.963502883911133,785.9369506835938,DAT-RUL+sLSTM,40,20,deg_attention,slstm,gelu,1,64,32,128,1,1,0.25,False,D:\Datasets\CMAPSS\raw_data,FD004,z-score,125,True,True,True,0.2,128,0.001,50,150,1,False,False,"['s13', 's16', 's18', 's19']"
25/10/2024 17:27:15,12.963502883911133,785.9369506835938,DAT-RUL+sLSTM,40,20,deg_attention,slstm,gelu,1,64,32,128,1,1,0.25,False,D:\Datasets\CMAPSS\raw_data,FD004,z-score,125,True,True,True,0.2,128,0.001,50,150,1,False,False,"['s13', 's16', 's18', 's19']"
28/10/2024 09:37:47,12.963502883911133,785.9369506835938,DAT-RUL+sLSTM,40,20,deg_attention,slstm,gelu,1,64,32,128,1,1,0.25,False,D:\Datasets\CMAPSS\raw_data,FD004,z-score,125,True,True,True,0.2,128,0.001,50,150,1,False,False,"['s13', 's16', 's18', 's19']"
28/10/2024 11:45:23,12.963502883911133,785.9369506835938,DAT-RUL+sLSTM,40,20,deg_attention,slstm,gelu,1,64,32,128,1,1,0.25,False,D:\Datasets\CMAPSS\raw_data,FD004,z-score,125,True,True,True,0.2,128,0.001,50,150,1,False,False,"['s13', 's16', 's18', 's19']"
