Exe_Time,RMSE,Score,Model_spec,sequence_len,feature_num,attention_type,cell_type,fc_activation,rnn_num_layers,hidden_dim,lstm_dim,fc_layer_dim,feature_head_num,sequence_head_num,fc_dropout,lr,validation_rate,batch_size,patience,max_epochs,bidirectional,save_attention_weights,dataset_root,sub_dataset,norm_type,max_rul,cluster_operations,norm_by_operations,use_max_rul_on_test,gpus,shuffle,exclude_cols
25/10/2024 10:04:14,11.525623321533203,183.90151977539062,DegFormer+sLSTM,30,16,deg_attention,slstm,gelu,1,32,16,32,2,2,0.25,0.001,0.2,128,50,150,False,False,D:\Datasets\CMAPSS\raw_data,FD001,z-score,125,False,False,True,1,False,"['op3', 's1', 's5', 's6', 's10', 's16', 's18', 's19']"
25/10/2024 10:35:46,11.525623321533203,183.90151977539062,DegFormer+sLSTM,30,16,deg_attention,slstm,gelu,1,32,16,32,2,2,0.25,0.001,0.2,128,50,150,False,False,D:\Datasets\CMAPSS\raw_data,FD001,z-score,125,False,False,True,1,False,"['op3', 's1', 's5', 's6', 's10', 's16', 's18', 's19']"
25/10/2024 11:14:33,11.525623321533203,183.90151977539062,DegFormer+sLSTM,30,16,deg_attention,slstm,gelu,1,32,16,32,2,2,0.25,0.001,0.2,128,50,150,False,False,D:\Datasets\CMAPSS\raw_data,FD001,z-score,125,False,False,True,1,False,"['op3', 's1', 's5', 's6', 's10', 's16', 's18', 's19']"
25/10/2024 11:46:09,11.525623321533203,183.90151977539062,DegFormer+sLSTM,30,16,deg_attention,slstm,gelu,1,32,16,32,2,2,0.25,0.001,0.2,128,50,150,False,False,D:\Datasets\CMAPSS\raw_data,FD001,z-score,125,False,False,True,1,False,"['op3', 's1', 's5', 's6', 's10', 's16', 's18', 's19']"
